,content,label
0,"Французские фильмы отличаются своей романтичностью, своей женственностью, своей лёгкой непринуждённостью, в особенности, если действие фильма происходит в Париже. Париж кажется тем местом, где люди не могут быть одинокими, но это только иллюзия, потому что одиноких сердец в этом городе много. 

 Одиночества — это не только злободневная тема современного мира, но и также тема для фильмов. Было снято уже большое количество романтических фильмов на тему одиночества, но каждый фильм по разному преподносит данную тему.

«Он и она» — фильм про одиночество, фильм про то, как всё же бывает не просто познакомиться с понравившимся тебе человек, как не просто бывает найти общий язык с человеком, как не просто бывает преодолеть себя и свои психологические барьеры, как не просто бывает придать себе уверенности и двигаться дальше и как современный мир очень сильно зависим от социальных сетей.

 Герои Франсуа Сивиля и Аны Жирардо Рэми и Мелани относятся к числу тех одиноких сердец Парижа, которые не могут найти свои половинки, которые блуждают и не могут найти себе места, у которых имеются свои проблемы, будто это проблемы со сном, будто своего рода психологические проблемы. Суждено ли им встретиться? Ведь они уже неоднократно пересекались в одном и том же месте лишь с небольшой временной разницей. Фильм расскажет и даст ответ на этот вопрос. 

 «Он и она (Deux Moi)"" — душевный фильм, заставляющий задуматься о главных ценностях в жизни: любовь, семья, забота и никогда не терять надежду на лучшее.

 8 из 10",good
1,"Стоит отметить, что с каждым годом становится все меньше, фильмов/мультфильмов, в которых деструктивные идеи замаскированы чем-то положительным, теперь все идет откровенно. И этот мультфильм ничем особо не выделялся, судя по трейлеру, семейные ценности здесь должны быть некрофильского разлива. Но все же решил посмотреть.

В первую очередь, конечно, заметна визуальная составляющая. Еще в трейлере было видно, что этот «волшебный» мир населен самыми уродливыми из волшебных персонажей. Понятно, что делалось с целью деградации зрителя, но, как ни странно, здесь это вполне уместно. Ведь это самый типовой западный мир, совпадающий во всех мельчайших деталях. Где сейчас активно пропагандируются такие явления, как зоофилия и каннибализм. Так почему этих деградантов должны изображать с красивой внешностью? А вот столь неприглядные существа, почти утратившие человеческий облик, иногда полуживотные — это им весьма к лицу (особенно зоофилам, учитывая намеки на отношения кентавров с похожими на людей персонажами).

В рецензии на «Тайну Коко» я говорил, что «семейные ценности» от этой студии насквозь пропитаны некрофилией, мертвечиной. Здесь тоже самое. В «Тайне» у главного героя наиболее близкие отношения с мертвым предком (при двух десятках живых родственников). Так и здесь весь мультфильм носятся с мертвым папой. Изображенном, кстати говоря, крайне унизительно, когда его ведут на поводке как собачку, и в других эпизодах. Создатели мрачного триллера «Холодное сердце-2» в одном интервью честно признавались, что их постоянно называют «убийцы родителей», «студия некрофилов» и тд. 

Причины всего этого очевидны и не скрываются. Чтобы белые европейцы вымирали, нельзя показывать полные семьи, где у детей хорошие отношения с родителями. Отношения должны быть отвратительные, либо кто-то должен быть мертв, как в данном случае. Стандартный, уже надоевший прием. Не знаю, с чего некоторые взрослые зрители якобы прямо изрыдались. Тем более, на фоне комичного, унизительного изображения недопапы. Другое дело, дети. Мрачный финал (замаскированный фальшивым оптимизмом) явно имеет целью вбить им в голову самые депрессивные настроения (в идеале — суицидальные). Кстати, в финале произошло любопытное столкновение двух главных идей этой студии. Идея «ребенок всегда прав, родители/взрослые — недоумки», вошла в явное противоречие с идеей «воевать и спасать мир могут лишь крутые женщины, неполноценные самцы должны трусливо стоять в стороне». В итоге ювенальная юстиция с небольшим перевесом победила фемофашизм. Правда, отчасти это компенсирует эпизод в начале, где мама демонстрирует приемы дзюдо.

Момент, где хорошее перемешано с плохим, лишь один. Главные герои — типичные молодежные гопники (особенно, который увешан значками каких-то сатанинских рок-групп и субкультур). Их уровень интеллекта, морали и пр. общеизвестны, понятны уже по сленгу, которым они здесь общаются (в оригинале там еще отвратительней, чем в русском переводе). И они якобы готовы совершать подвиги, чтобы пообщаться с умершим папой? Да не смешите. В реальности 99% из них готовы убить папу вместе с мамой, если им не купили новый гаджет или модные шмотки. Равно как насмешили эпизоды с приверженностью древним традициям, защитой памятников истории. Которые в реальности такая публика разукрашивает матерными надписями и непристойными граффити.

Магическая составляющая традиционно зияет логическими провалами. Я так и не понял, зачем нужна магия, чем она лучше техники. Чтобы двое подростков могли устроить катастрофу? Чего им не удалось бы в неволшебном обществе, где их никто бы не допустил, например, нажимать кнопки на ядерном реакторе. Даже болтаясь по заброшенному заводу они могли бы максимум отравиться химикатами, но не как здесь. Авторы явно не заморачивались над объяснениями, вставили первое, что пришло в голову — «магии сложно научиться». При том, что здесь ее самостоятельно освоили менее чем за сутки. Представьте, например, сколько знаний и умения надо, чтобы без колдовства построить самоходную лодку в той пещере (даже при наличии материалов и инструментов). Для гопников, подобных здешним, это так же нереально, как построить космический корабль. Поэтому «магия» здесь является синонимом слова «халява» (дескать, раньше мир был ею наполнен, а потом наступили тяжелые времена). 

Одной из главных особенностей «Onward» был шум вокруг персонажа с нетрадиционной ориентацией. Но, как и в случае с внешностью, здесь это вполне уместно. Данный персонаж ведет себя подчеркнуто нехарактерно для своего пола, занимается нехарактерным делом и, естественно, имеет нетрадиционную ориентацию. А как еще? Ранее этот очевидный факт отрицался десятилетиями, с момента появления подобных героев на экране и в реальной жизни. А сейчас его признали, и это плюс. Дополняя отталкивающей внешностью персонажа (выделяющейся даже среди здешних уродцев). Можно подумать, все остальное в современных мультфильмах такое замечательное и традиционное. В бочке дегтя лишняя ложка не очень заметна (куда более выделяется зоофилия в виде эльфа и кентавра).

Тем более, все это разрушает известную теорию о превосходстве одного пола над другим. Согласно которой, «высший» пол обладает некой универсальностью — может одеваться и вести себя как угодно, иметь любую профессию, при этом не впадая в ЛГБТ-извращения (по сути, заменяя собой оба пола, с равным успехом выполняя функции обоих). На что ущербные недочеловеки из противоположного пола не способны — нехарактерная для них одежда, профессия и пр. всегда влечет за собой трансгендерные отклонения. Но вот здесь нам показывают, что это не так, никакой разницы между теми и другими нет. То же самое последнее время можно наблюдать в супергеройских фильмах. Наши экранизаторы мифов, режиссеры Шальопа и Дружинин в одном из своих будущих фильмов 2021 года хотят показать персонажа, подобного здешнему. Но, конечно же, нам будут рассказывать про его совершенно традиционную ориентацию (в соответствии с упомянутой теорией превосходства). Только сейчас уже в это поверит значительно меньше людей. За эти плюсы

4 из 10",bad
2,"Мне не понравился этот фильм. Я, в целом, не люблю американские драмы, особенно старые, потому что они бездушные, сняты под копирку; в них важнее души и истинных чувств слащавый хэппи-энд и отбелённые зубы главных героев.

Тот, кто в курсе, что означает «биполярное расстройство», никогда не станет снимать подобное кино. Не надо касаться тем, в которых ничерта не разбираетесь. 

Биполярное расстройство подразумевает метание душевного состояния больного с фазы депрессии в фазу мании. Что мы видим на экране? Герой Гира то кривляется и прыгает до небес, то готов сойти с крыши. БАР здесь показан так, словно это экранизация дешёвого фанфика, написанного девочкой-подростком. Я ни разу не посочувствовал главному герою, потому что он не понимал, как отыгрывать это заболевание. Мания подразумевает прилив сильной энергии, душевного подъёма, одержимости, фаза депрессии и так понятно, чем. Фазы цикличны, каждая может длиться от нескольких недель до нескольких месяцев. Здесь же ГГ то впадает в манию, то в депрессию каждый божий день.

Далее идёт психиатр. Это курам на смех. Этот «специалист» полагает, что у ГГ «не шизофрения, а психопатия». Что?! Такие предположения может строить только бабка на лавке, но никак не психиатр. Эта странная тётка не только бросается ярлыками, но и внезапно кидается в омут с головой, абсолютно не думая о последствиях. Ну, а Гир светит белыми, как «Колгейт» зубами, и пытается отойти от образа милого романтического увальня, каким он предстаёт в каждом фильме. Но нельзя сыграть то, о чём не имеешь представления.

Как следствие, заявляю, что создатели фильма «Мистер Джонс» ничерта не знают о биполярном расстройстве. Они решили поэксплуатировать эту тему, превратив в типичную бездумную голливудскую брошюру, полную клише, под которой бесконечная пустота. Нет в этом кино никакой любви, одна бульварщина, призванная вызывать слёзы у подростков и любительниц сериалов в стиле «Санта-Барбара».

1 из 10",bad
3,"Джулианна Мур — одна из тех редких актрис Голливуда, которая очень основательно и качественно подходит к выбору ролей, тем более Джулианна за данную роль в фильме «Всё ещё Элис» получила премии «Золотой Глобус» и «Оскар» как лучшая женская роль.

 Я не зря назвал заголовок своей рецензии как «любовь к семье», потому что любовь Элис (Джулианна Мур) к своей семье очень явно прослеживается по ходу действия фильма. Но мне кажется, что перед лицом неких обстоятельств человек может быть совершенно бессилен и как бы он не пытался что-либо изменить ему это не удастся сделать, безусловно, многое будет зависеть какие именно преграды или обстоятельства стоят на пути человека, в особенности, если это связано с физическим состоянием и здоровьем человека.

 Элис — профессор лингвистики в университете, она — замужем и у неё трое взрослых детей, постепенно она начинает забывать слова, события вчерашнего дня, номера телефонов и адресов, впоследствии ей был поставлен диагноз «болезнь Альцгеймера» на ранней стадии. 

 Осознание того факта, что с каждым днём Элис будет становится всё хуже и хуже не даёт ей покоя, ведь как возможно нормально жить и радоваться жизни, если ты можешь даже забыть имя собственной дочери.

Джулианна Мур — главное украшение фильма, она вытягивает на себе практически весь фильм, её чувства, её эмоции, её страх и одновременно безысходность всего происходящего очень сильно на неё повлияли с моральной и психологической точек зрения, но она всё же находит в себе силы не сдаваться и бороться до конца ради её мужа, ради её дочерей, ради любви.

«Всё ещё Элис» — хороший фильм с действительно сильной актрисой в лице Джулианны Мур, которая приняла свой диагноз каков он есть на самом деле и она нашла в себе силы не сдаваться.

 8 из 10",good
4,"1. я могу с полной уверенностью и без преувеличения заверить, что если вы смотрели тизер — вы смотрели весь фильм! И я не утрирую — всё остальное место в фильме, кроме незначительных моментов уже засвеченных в трейлерах, занимаю бесконечные, пустые, высосанные из пальца диалоги или монологи! Я давно не видел такого наглого растягивания хронометража! Ни один (НИ ОДИН!!!) диалог ни на что не влияет! И если бы диалоги были хотя бы забавными, но это просто набор клишированных фраз из любого проходного фильма конца 90-х — начала 2000-х!

2. Мультфильм не отвечает на вопросы, не показывает интересной истории, не раскрывает персонажей, не демонстрирует какой то химии между персонажами, мультфильм абсолютно пуст и каждый кадр в нём ни о чем не говорит и ни на что не влияет! То есть если обычно мы смотрим на персонажа и видим как он развивается, что он чувствует, почему он делает те или иные поступки и сопереживаем персонажу то тут нам просто показывают: «Вот „Соник“, смотрите, он такой же как игре! Видите!? Это же круто, да..? Вы же по этому пришли в кинотеатр — просто посмотреть на „Соника“, да??» 

Так же спонтанно просмотренный в кинотеатре с моим 5-ти летним ребенком мультфильм «Вверх» вызвал в 100 раз больше эмоций, несмотря на то, что я был настроен очень скептически. Химия между персонажами, шаблонные но уместные «чеховские ружья», отличная подача, отлично прописанные персонажи, каждому из которых уделено достаточное количество времени и каждому из которых можно сопереживать, весь мультфильм что то происходит и все действия связаны. Да что уж греха таить — даже в «Angry birds» сюжет в 100 раз интереснее, чем в «Сонике», как минимум потому, что он там хотя бы есть!

В «Сонике» очень много пустых диалогов, кривляний и попыток «шутить». По первой версии модели Соника было понятно, что фильм делают те, кто не понимает кто такой «Соник», каким он должен быть и в чем вообще смысл!

3. И как вишенка на этом маленьком пустом тортике — Джим Керри!… О да… я впитал его позор ещё при просмотре первого тизера. Чтобы понять его роль в фильме — ему просто, скорее всего, сказали: -«Джим… помнишь ты когда то кривлялся в фильме Эйс Вентура? Можешь еще немного покривляться, мы запишем, а потом куда-то вставим эти кадры в фильме…».

п. с. Ребенок сказал, что ему понравилось, естественно, но только я наблюдал, как он либо зевает, либо ерзал на стуле и не смотрел на экран в моменты неинтересных и «ниочем» диалогов между персонажами, а это, повторюсь, около 80% всего экранного времени! По этому сводить ребенка конечно можно, но осознавать насколько это проходной, слабый, бездарно слепленный продукт с высосанными из пальца диалогами, «сюжетом» и пустыми персонажами, просто очень неприятно и грустно, особенно когда в кадре появлялся Эйс Вентура, добавляя еще больше грусти от происходящего на экране. 

1 из 10",bad
5,"Вот знаете, фильм неплох. Более того, он хорош и для российского кинематографа он шедеврален. У него есть мелкие огрехи, на которые можно закрыть глаза и простить, но один косяк все же серьезен — юношеский максимализм сценариста и вытекающая из него рельсовость.

Нет, мир, показанный в фильме интересен и сам ход сюжета с концовкой хороши и держат в напряжении, но вот я помню бегущего по лезвию — для меня это эталон фантастики и шедевр. Тут же просто хороший фантастический фильм. И разница в тех самых рельсах. Если в бегущем по лезвию антагонистов нельзя было однозначно назвать злодеями (назвать, конечно, можно, но ни Дик ни Скотт этого не делают, они оставляют выбор за зрителем-читателем), то в коме сценарист забил на такие условности и тыкает зрителя как маленького котенка носом: вот герой, он хороший и мы будем показывать его 99% времени на экране, а вот злодей, мы его вставим на фоне пару раз, даже дадим ему реплик, но не раскроем его линию. Почему? Потому что он злодей. А чтобы ты убедился, что он злодей, мы пропишем ему сцену, где он ест дете… (зачеркнуто) будет пытаться убить свиту главгероя. Теперь ты понял, зритель, что он монстр? Ну вот, об остальном не думай.

При этом мотивация у злодея есть и немного переделав сценарий и убрав это навязывание можно было бы существенно поднять уровень фильма (а если еще и бессмысленную сцену с перестрелкой выкинуть). В том же бегущем по лезвию репликанты убивали людей, но их действия имели четкую мотивацию, здесь же увы, мотивы антагониста предпочли засунуть поглубже.

Такие дела. Тем не менее повторюсь, фильм неплох и любителям фантастики его точно стоит посмотреть.",good
6,"На фоне эйфории от «Джентльменов» и в свете сравнения творения с более ранними жемчужинами творчества Гая Ричи, было принято твёрдое и непоколебимое решение отложить всё, скрепя сердце открыть уже едва умещающийся в «чертогах разума» список «Обязательно посмотреть/почитать/пересмотреть/перечитат- ь/послушать/сходить/сделать/попробовать!», и, всплакнув в душЕ, но внешне не дрогнув ни единым мускулом, безжалостно отмахнуться от орд, с надеждой глядящих на тебя из недр списка, отыскать и наконец-то поставить галочку напротив выделенного жирным, дважды подчёркнутого и обведённого пунктика «Карты, деньги, два дымящихся ствола». Надеюсь, я хоть в малой мере искупила вину перед фильмом и эпохой за столько лет ожидания, взявшись за режиссёрскую версию в переводе «Гоблина».

Лондон, 90-е. В этот бурлящий океан, полный криминальных ручейков, потоков и течений, наряду с уверенно рассекающими маститыми акулами и большими косяками рыбёшек помельче нет-нет, да и заплывёт какая-нибудь совсем маленькая, но уверенная в себе рыбка. Четверо друзей, которым вполне успешно удаётся и заниматься любимым делом, и помышлять тёмными делишками и зарабатывать неплохие деньги, решают разбогатеть по-быстрому. Они молоды, азартны, прозорливы, уверены в себе, убеждены, что познали все тонкости и всего-то и нужно, что протянуть руку и взять, что остальные, по все видимости, не настолько умны, чтобы это заметить. Тут-то и закручивается весь лихой водоворот сюжета шедевральной криминальной комедии. Остальные-то, оказывается, наоборот умнее и руку боялись протянуть, зная, что её оттяпают. Медленно, болезненно, по одному пальцу. И вот теперь перед нашими друзьями стоит куда более острая и приземлённая задача — как быстро заработать денег, чтобы спасти свою шкуру. Одновременно с этим, другая банда удальцов, одержимая идеей, которая совсем недавно терзала умы и наших молодцов, решает по-быстрому разбогатеть, припугнув всего лишь каких-то «ботаников». Вместе с тем ещё два юных поклонника Джеймса Бонда принимают ответственное задание обнести дом одного коллекционера, питающего страсть к огнестрельному оружию, в том числе. Всем группа то и дело приходится прибегать к услугам рыбёшек покрупнее, пересекаться между собой и проскальзывать прямо перед оскаленной пастью акул. И эти моменты воистину бесподобны: глупость идей и поступков сливается воедино с гениальностью, образуя фитилёк, с помощью которого и будет подожжена эта взрывоопасная смесь. Все ружья сценаристом умело развешено и непременно выстрелят (а в нашем случае и в прямом, и переносном смысле). Это надо смотреть, наслаждаясь каждым моментом и смакуя каждую фразу!

Диалоги. Они заслуживают отдельной оды. Фирменные юмор, сатира и философия, умелое раскрытие персонажей с помощью их же слов или устами других героев. Да чуть ли не каждая реплика достойна быть разобранной на цитаты! Даже обилие ненормативной лексики не вызывает отторжение, а, напротив, в полной мере соответствует духу происходящего и помогает его передать.

Визуальный ряд. Ты будто действительно переносишься в старые добрые 90-е. Динамика происходящего, будто сам зритель вовлечён в происходящее. Особенно понравилось, как продемонстрирован момент проигрыша и осознания Эдди положения и последствий: мы будто внутри головы горе-игрока, вместе с ним в тумане происходящего.

Аудиоряд. Музыка тоже подобрана таким образом, что либо чётким соответствием, либо ярким контрастом подчёркивает ключевые моменты. Кровавая мясорубка под «Zorba the Greek»? А почему бы и нет?)

Персонажи и актёры. Здесь тоже стоит отдать всем должное. Такое ощущение, что автором чуть ли не вся подноготная каждого героя продумана. Каждый жест, поступок, слова, предмет гардероба — всё помогает сформировать не просто поверхностное представление, а раскрыть характер, понять сущность. И это лишь малая толика по сравнению с тем, как это удалось реализовать актёрам. И это вопреки (или благодаря?) тому, что далеко не все на тот момент были профессиональными или известными актёрами. Винни Джонс, Ленни МакЛин,

Патрик Х. Мориарти и Фрэнк Харпер аки Большой Крис, Барри «Креститель», Гарри «Топор» и Дог, соответственно, всем своим видом, подобно надписи на трансформаторной будке, демонстрируют, кто они такие и что с ними играть не стоит. Стив Суини и Стивен Маркус в полной мере передали всю двуличность, склизкость и изворотливость своих персонажей. Вэс Блэквуд — идеальный образчик типа, который с одинаковым наслаждением и выражением лица будет смотреть любимую спортивную передачу или как ты горишь. Умиляет так же Маленький Крис в исполнении Питера МакНиколла. «Ботаники» (Стивен Макинтош, Николас Роу, Ник Марк и Чарльз Форбс) равно как и почитатели серьёзных дел и Джеймса Бонда (Виктор МакГуайр и Джэйк Абрахам) — заигравшиеся ребята, чудом попавшие в серьёзный бизнес и в полной мере не осознающие, во что они вляпались — идеальное попадание в образы. Ну и конечно же «великолепная четвёрка» — Эдди, (Толстый) Том, Бекон и Мыло(а вот этот образ хочется отметить отдельно — «в тихом омуте», латентные наклонности, любовь к ножам, рассуждения и цитаты — в общем, теперь ясно кого я для разрядки обстановки порой косплею на работе) — Ник Моран, Джейсон Флеминг, Джейсон Стэйтем и Декстер Флетчер. Вот они «свои», простые парни с улицы, чьи стремления и поведения так близки и понятны простому смертному и вызывают искреннее сопереживание.

Открытая концовка — отдельная изюминка. И символизм — по сути каждое решение, каждая ситуация, каждый поступок были подобны эту решающему моменту на мосту. Какую руку разжать: что ты готов потерять, а что схватить?

Так же хотела бы обратить внимание на название. Точнее оригинальное название локализованное. До недавнего времени натыкалась исключительно на вариант «Карты деньги, два ствола». Все мы уже привыкли, что у нас к адаптации относятся не слишком щепетильно, поэтому потеря всего лишь слова казалась далеко не худшим, что могло произойти. Потому была несколько заинтересована и озабочена недавно столкнувшись с принципиальностью употребления «потерянного» слова в названии. Это разожгло любопытство и заставило, во-первых, внимательнее присматриваться к тем самым стволам, а во-вторых, поискать дополнительную информацию в сети. И тогда я осознала, насколько же тонок был подход при создании названия и как важна та часть, с которой так бесцеремонно отнеслись наши локализаторы. Оригинальное название «Lock, Stock and Two Smoking Barrels» является игрой слов, поскольку в основе содержит старую английскую идиому «lock, stock and barrel» (цевье, затвор и ствол), соответствующую нашему «всё и сразу». Здесь всё в порядке. Но другая идиома, отражённая в названии фильма — «smoking gun» (дымящийся ствол), что в переводе с английского означает «неопровержимое доказательство», «явная улика», «палево» — утеряна. А ведь на ней построен финал! Да и весь «огонь» в фильме разгорается с новой силой как раз в моменты, когда из этих самых стволов вырывается дымок. Ну и не забываем красивый момент из фильма, когда Том демонстрирует друзьям своё приобретение, а из ствола вырывается дымок от его сигареты.",good
7,"Я откровенно не понимаю, за что такая волна негатива обрушилась на картину. Так уж получилось, что посмотрел я все мультфильмы и короткометражки «Холодного сердца» за один день и считаю что сиквел вышел во многом лучше оригинала. Я буду проводить много сравнений с оригинальной картиной, ибо критики в основном так и делают. Постараюсь вам показать другую точку зрения используя те же инструменты (Никаких нападок на оригинал, он самобытен и дает платформу для нового качественного мультфильма). Эмоции улеглись, а в голове отчетливо находятся две части картины. Но давайте по порядку.

Сюжет. После довольно банальной и типичной для раскачки первого фильма вселенной истории, с «неожиданными» твистами (Ну серьёзно, после слов деда Пабби о холодном сердце, за 5 минут первого фильма, вы разве не догадались, что произойдет с сестрами?), и бесконечным песнями (первая половина оригинала настолько напичкана ими, что и любитель мюзиклов напряжется), сиквел кажется структурированным и копнувшим глубже. Он повзрослел вместе с аудиторией, при этом остался очаровательным и для нового поколения фанатов (а сколько милых зверюшек добавили). Во второй части сюжет раскрывает природу магии и саму историю королевства. Ну разве истинный поклонник франшизы не мечтает узнать о ней больше? Такая завязка как нельзя лучше продолжит историю оригинала. Каждый герой на протяжении фильма развивается и справляется со своими тревогами. Повзрослевшая и самостоятельная Анна, способна идти дальше без сестры, Эльза — нашедшая свое место и переставшая винить во всех бедах себя, решившийся на важный шаг Кристофф, осознающий проблему постоянных догонялок с любимой, даже Олаф мыслит намного более масштабно и человечно (вопросы бытия волнуют его повзрослевшее сознание). Концовка мультфильма показывает не мечущихся героев, (в оригинале, напомню, они бегали друг от друга весь фильм, а сам он закончился обыкновенным возвратом в стабильное начало + сила любви, конечно), но осознавших свои пути персонажей и вступивших в новый этап своего становления + сила любви.

Музыка. До сих пор в голове сидит потрясающая песня Into the unknown (Panic at the disco), не менее обалденная как в исполнении Анны Бутурлиной, так и Романа Архипова. Саундтрек к сиквелу грамотно и равномерно распределен по всей длительности фильма и не вызывает желания поскорее промотать и узнать что будет дальше, все предельно органично встроено в хронометраж.

Картинка, Макияж и Лююбооовь (протяжно пропеть) Анимация на порядок лучше оригинала, тут и сама картинка детализированнее и локации богаче и героев в кадре полно и все разные, аниматоры постарались на славу.

Злые тётки попрекают героиню в постоянном наличие макияжа и непрактичных нарядах, это смешно. В 13 году, во время выхода оригинала, они так же возмущались?) Эльза, королева, да и это детский мультик про принцесс, он должен быть красочным и непрактичным. У нее конь из воды! Кто хочет сильных женщин без макияжа и в брюках прошу к просмотру перезапуск терминатора и новую Лару Крофт. Винить мультик за то, что он для детей, нет никакого смысла. Почему никто не возмущается что лейтенант Миттиас и его воины 34 года торчали в одном и том же обмундировании в лесу?

Как и в первой части движущим локомотивам является сила любви, тут все в порядке, отношения сестер более естественные, ведь они основаны не просто на памяти детских мгновений, как в первой части, а на времени совместно проведенного с окончания оригинала. 

Поясняя некоторые моменты… Да, сестры снова оставили королевство и подданных, но лучше ведь на троллей, которых жители знают (внимательные поклонники помнят как в короткометражке семейная пара шла готовить троллям кашу), чем на незнакомого принца без гарантий.

Да, покорились не все духи, но именно те, непокорные, и продвинули сюжет к финалу (сюжетная арка с дамбой и великанами).

Да, присутствуют и глуповатый детский юмор и драма, чего стоит пересказ Олафа первой картины. Он, кстати, является связующим звеном между сестрами и их совместной «традицией», опять же история из короткометражки это подтверждает.

Да, каждый персонаж к концу картины повзрослел и появился в новой для себя роли, будь то связующее звено с духами, королева или муж.

И, конечно, о злодеях. Мультфильм достаточно взрослый, чтобы показать нам, что злодеи вовсе не мистические духи, а самые простые люди. Их жажда власти и контроля причина многих бед. (Хоть и странно это писать в отзыв к мультику от корпорации зла:)

Нельзя относиться к мультикам настолько скептично, забывая при этом что там фигурирует живой снеговик. Люди привыкли к тому, что сиквел не дотягивает до оригинала, и идя на этот мультфильм, навесили на него заранее ярлык провала и всячески пытаются этот ярлык оправдать.

Конечно, самоистязания героев перекочевали из первой части и за это можно поругать вторую. Часть новая, а проблемы проскакивают старые, особенно это заметно у Эльзы с её опасениями за сестру и своих подданных. Однако, финал очень ясно расставил их по местам. Будем надеяться, если мы увидим продолжение, оно будет самостоятельным произведением, а не сидящим на спине у атлантов самоповторяющимся карликом.

Я не нашел настолько явных для сказочной вселенной ошибок.

9 из 10",good
