,name,author,review,image,url_to_book
0,Условные гунны и «волшебные Черновцы»,Марианна Гончарова ,"         Это первая книга, которую я читаю у Гончаровой, в которой она выходит за пределы своего собственного, силой своей любовной фантазии созданного, дивного мира, который можно было бы назвать «волшебные Черновцы и окрестности». Эти ее «волшебные Черновцы» – это такой вроде бы не фантастический, не сказочный, но все же отчетливо чудесный, теплый, уютный мир, часто очень смешной. Этакая маленькая страна, населенная ее друзьями, близкими и разнообразным обаятельным зверьем, главным образом домашним. Иногда в этой стране бывает грустно. Но чаще – хорошо. Иногда территория этой страны расширяется, включая в себя уже действительно магические Карпаты. Но чаще территория берет себя в руки и остается в пределах маленького, полного садов города. А вот «Аргидава» – это совсем другая история. Здесь Марианна Гончарова выходит на чужую, незнакомую дорогу, лишь частично имеющую касательство к ее стране, и получается у нее нечто совсем новое.Во многих рецензиях на эту книгу пишут, что «Аргидава» похожа на эскиз к чему-то большему, что есть в ней замах на объемную, с проработанной приключенческо-исторической, а может, приключенческо-фэнтезийной линией вещь. А получился вроде как только набросок.Но мне этот набросок ужасно понравился. Не сразу, но в итоге – очень. Сюжет здесь развивается в двух плоскостях или даже в трех. И в центре его – окутанная легендами крепость. Это она называется Аргидава. К ней обращены все помыслы, все мечты героев, где-то в ней, физически, находится центр магнитного поля с мощным притяжением – где-то в недрах крепостных подземелий. И сюда же стремятся все три сюжетные линии: линия Маши, alter ego самой Гончаровой, и ее друзей, линия зловещего антиквара Корнеева и, наконец, история, дошедшая из таких давних времен, что похожа она больше на легенду, чем на страницу истории. Знатоки украинских достопримечательностей утверждают, что крепость, изображенная на обложке книги, – это Хотинская крепость, стоящая на Днестре. Место под названием Аргидава – некогда древний укрепленный город даков – существует в действительности, но находится далеко за пределами Украины, на западной границе Румынии, и стоит не на Днестре, а на Дунае. Так что Аргидава Гончаровой – это крепость-фантом, мираж, плод воображения. Это и не Аргидава, и не Хотин... Это даже не их гибрид. Что-то совершенно свое, вымышленное. Так что какой на самом деле была история книжной Аргидавы – сказать невозможно. Это просто сказочный неприступный замок посреди неназванного, сонного городка, где она стоит, как память легендарных времен. В сердцевине этого замка сокрыта его главная тайна, нити которой тянутся от времен Великого переселения народов – к Риму, осаждаемому варварами, от античного Рима – к Греции, Греции совсем давней, легендарной, гомеровской... Связывает все эти пласты воедино один скромный перстенек. Перстенек, кровавый брачный подарок, оставшийся на пальце девушки, захороненной в тайной гробнице в недрах Аргидавы. Пока хранит Аргидава в себе этот перстенек, как плод – косточку, как Кащеево яйцо – иглу, будет неприступна Аргидава. А если попытаться найти тайный ход к гробнице девушки с перстеньком, обрушатся стены и своды крепости на осмелившихся потревожить древнюю могилу. Так она задумана, эта Аргидава. Такое над ней заклятие. И тайну этой задумки нигде нельзя прочесть. Это тайна из тех времен, когда в окрестностях будущей Аргидавы еще ничего не писали. Устной была та слишком древняя и дикая культура. Так что прочесть ничего нельзя. А вот услышать непостижимым образом голоса из прошлого – иногда можно. Но можно тоже не всем и не всегда. Главное условие – иметь страсть, жадную страсть к разгадке тайны Аргидавы. Быть добрым или злым при этом не обязательно...Вся эта линия с историей из времен то ли даков, то ли гуннов, то ли готов, с двумя братьями, повторяющими историю Каина и Авеля, с походами на Рим, с влюбленной германской пленницей принцессой Ют, – сначала кажется странной, дикой, чужеродной... Но потом понимаешь, что так она и должна быть написана. Написаны эти фрагменты древней истории каким-то очень правильным языком, с точно найденной интонацией. Есть в этих фрагментах какие-то отголоски иного, грозного времени, и его тоски, его печали, пережившей века. Фрагментов этих мало, но больше, пожалуй, и не нужно. Есть в «Аргидаве» первый, кажется, у Гончаровой настоящий злодей. Даже два: давний и современный. Оба, надо сказать, неожиданно хорошо получились. От современного порой натуральный холодок пробегает по спине. Не знала раньше, что Гончарова и так умеет: изобразить концентрированное, тяжелое зло. Не одномерное, впрочем, имеющее свою почти благородную, возвышающую страсть, но готовое ради этой страсти на любое злодейство... Есть и привычный, классический мир Гончаровой, этот милый пестрый мир украинской провинции, населенный людьми чудесными, колоритными и порой такими прекрасными, что они кажутся более выдуманными, чем древние эти условные гунны. Это такие люди, которых почти не бывает в жизни, но с другой стороны, именно таких порой хочется выдумать. Так что пусть будут они все – и Маша, и прекрасный принц Игнат, и маленькая художница Ася, и мальчик-музыкант Женя, и «говорящая» собака Луша, которая тоже, в общем-то, почти человек. А еще родители Маши, Олег и Леночка, и так странно рано умерший археолог Тищенко, и всякие волшебные люди разных кровей, будто стоящие одной ногой в нашем мире, а другой – в ином, заповедном: и священник-«афганец» отец Васыль, и еврей-кузнец, гадатель по птицам Михэль, и прекрасная рыжая полячка Кшися, загадочная пришелица явно из Средних веков, и престранная лучезарная девочка по имени то ли Макрина, а то ли Гобнэта... Примиряют с их воздушностью люди более сложные, интересные – черный копатель Сашка, смелый парень, находящийся в эдаком странном добровольном рабстве у зловещего своего дядюшки; влюбленный мелкий уголовник Варерик (да, именно так, не Валерик и не Вареник); цыганская ведьма Пацыка, оказывающаяся при ближайшем рассмотрении совсем не ведьмой, а усталой женщиной, бывшей фронтовой медсестрой, напрасно привораживавшей своего мужа, –  лишь на несколько лет хватило силы ее ворожбы, а потом влюбился он тяжело, страстно и безответно в другую... Вот только внимания этим персонажам уделено, к сожалению, очень мало. Разве что Сашка более-менее раскрыт. Но он тут и самый необычный, самый яркий. А вообще о каждом из персонажей тут можно было бы написать отдельную повесть или хотя бы рассказ, каждый тянет за собой целый угадывающийся за его спиной мир. Даже загадочный убийца восточных кровей Бустилат – на сей раз это все же не имя, а прозвище: вроде бы тупой и жуткий душегуб, но с неизвестно откуда взявшимся тонким слухом, способным слышать голоса исчезнувших миров. Предков он своих степных слышит, что ли?И все эти люди, все без исключения, так или иначе связаны с крепостью. Одни ищут разгадку ее тайны, другие ее хранят, третьи пытаются заработать, четвертые просто невольно оказываются связаны всей своей жизнью с этим магнитом – Аргидавой. Всех она влечет к себе и почти всех отталкивает. Неприступная, никогда никем не захваченная, помнящая всех, кто в ее стенах пировал, убивал, любил, умирал... Есть в этой книге и линии оборванные, недоработанные, например, предчувствие под названием «Ненастье идет». Эта фраза здесь не метеорологическая, она тут имеет такое же значение, что и фраза «Зима близко» в известной саге. Вот и ждешь соответствующего развития событий. Но потом задумываешься и понимаешь: да нет, все верно. Книга-то писалась в 2015 году, в Украине, и война на востоке была в разгаре, – сбылось, получается, пророчество местных провидцев... Просто сбылось не в книге, а за ее пределами. А в книге реальной, настоящей войны все-таки нет. Не монтируются миры Гончаровой с реальной войной. Кто-то увидит в этом слабость, а я вижу ценность: такие миры – добрые, уютные, укрытые от большого зла, – какие умеет создавать Гончарова, должны быть. Они нужны человеку.  ",https://s.bookmix.ru/books/1/1/2/Argidava_4112.jpg,/book.phtml?id=2145197
1,"Почти нормальная семья, почти нормальное убийство",Маттиас Эдвардссон ,"         «Почти нормальная семья» - это убийство, суд и «кто же это сделал?». А еще это семейная драма. Три части романа рассказываются от имени трех членов семьи – слишком контролирующего отца, подростка-бунтовщицы и эмоционально подорванной матери. И вот однажды дочь арестовывают за убийство взрослого мужчины. Отец – пастор, мать – адвокат, и им предстоит ответить на вопрос, как далеко можно зайти, защищая своего ребенка? Такая форма изложения имеет своих сторонников и противников, но для любителей этой формы роман будет очень интересен. Подобные изменения угла обзора приводят к неожиданностям и открытиям, меняют восприятие реальности. Да, они сильно замедляют развитие истории, книга получается медленной и тягучей, но сколько удовольствия можно получить от того, как проявляются характеры, как постепенно оживает мир, в котором они живут, как эмоции и устремления приобретают остроту, как множественные правды сходится в одну истину. Приходится, однако, признать, что назвать эту семью «почти нормальной» сложно. Скорее, «кажущаяся нормальной». Если бы такая семья встретилась мне в реальности, я бы сказала, что это и не семья никакая, это что-то уродливое, вывернутое, извращенное. Я не заметила никаких моральных компасов. А если их нет, то что же подвергалось испытаниям историей убийства?  Очевидно, что для автора детективная (или судебная) история не являются главной в этой книге. Все сосредоточено на главных героях и их характерах. Здесь не столько говорится о том, что делают персонажи, сколько о том, что они думают. Почему тот или иной поступок им кажется правильнее? Почему они реагируют именно таким образом? Почему испытывают те или иные эмоции? Взаимоотношения в семье становятся много важнее, чем расследование убийства. Мы больше рассматриваем их любовь и ненависть друг к другу, их секретики и ложь, их сомнения. Почему родители ощущают боль и вину за своего ребенка? Насколько хорошо можно знать свою дочь-подростка? А своего супруга / свою супругу? Поэтому, наверное, в книге встречаются повторы. И встречаются пропущенные сцены – те, которые ни за что бы не пропустил писатель детективов, но которые, наверное, менее важны для писателя семейных драм. Думаю, это книга именно для ценителей семейных драм. Наверное, им будет даже интереснее читать из-за того, что в сюжете есть детективная подоплека. Для любителей детективов, особенно экшн и классических, это будет пытка.  ",https://s.bookmix.ru/books/7/3/0/pochtinormalnayasemya8_1561081466.jpg,/book.phtml?id=2740956
2,Книга полная волшебства,Джоанн Харрис ,"         Что может быть экзотичней и волшебней, чем история поведанная вином? Впрочем здесь действительно вся книга пропитанна волшебством. Обычным, домашним... но, волшебством.",https://s.bookmix.ru/books/5/8/0/ezhevichnoevino1_1560135148.jpg,/book.phtml?id=2738545
3,"Увлекательный диссонанс жанров, тем, мыслей, настроений",Саша Кот ,"         Есть ли такое понятие, как личные границы? И что будет, если их нарушить? Ответ на этот вопрос в необычной форме даёт современный писатель Саша Кот на страницах книги «Иллюзия правды».«Это ведь чей-то дневник, и, по сути, мы вмешиваемся в чью-то чужую личную жизнь»... Иногда чтение может стать началом опасного приключения. И это вовсе не фантастическая история, а тетрадь, попавшая в руки к главной героине и её друзьям, не какой-то магический фолиант, способный искривлять реальность или открывающий портал в иные миры. Произведение представляет собой романтический детектив, между строк которого проскальзывает классическая шпионская тематика в стиле Джеймса Бонда.События прошлого и настоящего развиваются параллельно друг другу, но связываются в тугой узел, разрубить который можно, лишь докопавшись до правды. Но не просто так слово «иллюзия» попала в название, а потом неоднократно и в разных контекстах всплывало по мере повествования. Оно является ключом к пониманию сути происходящего. Интриги очень много. Напряжения ещё больше. Опасность, нарастающая скачкообразно, волнами, чтобы в итоге превратиться в цунами, заставляет мурашки бежать по коже. И всё время хочется спросить себя, героев, автора, соседа, да хоть кого-нибудь, неужели у этого сюжета будет ещё один виток, и все догадки опять, в который уже раз, обратятся в прах и развеются по ветру?Создаётся впечатление, что автор знает о женской психологии буквально всё. Елена и Дарья предстают как живые. Их внутренние конфликты и типично девичьи драмы становятся тем, что читатель переживает лично, страдая, разочаровываясь и вновь надеясь. Вот только одна история наполнена ложью. А чтобы вторая обрела счастливый конец, требуется докопаться до правды. И потому все душевные терзания, какими бы захватывающими они ни были – это лишь подсказки. Звенья цепи, ведущей к неизбежному финалу. Осталось лишь осознать это и научиться воспринимать в таком ракурсе.«Иллюзия правды» – книга, которая не оставляет равнодушным и играет на диаметрально противоположных струнах души, что очень редко звучат одновременно и совершенно точно – никогда в унисон. И этот диссонанс жанров, тем, мыслей, настроений – главное достоинство произведения. Его можно смело назвать той самой изюминкой, что придаёт всему роману уникальность и делает его неповторимым.",https://s.bookmix.ru/books/2/0/5/illyuziyapravdy_3_1581939383.jpg,/book.phtml?id=2922067
4,Философия геологии,Александр Гриневский ,"Когда я на почте служил ямщиком,Я ещё не дочитала аннотацию к книге, а в голове уже фоном играла эта песня, собственно на ней начинались и заканчивались мои знания о геологах. Думала, что книга будет о приключениях суровых мужиков, и не подозревала, что геологи - это немного философы, размышляющие о времени и пространстве, о становление личности, которое происходит не в борьбе с природой, а в единении с ней.  ""Тайга учит быстро. Сначала ты стараешься вести себя так, как привык. Мол, ты сильнее обстоятельств, и пускай эти обстоятельства подстраиваются под тебя. Три, четыре дня, от силы неделя, и начинаешь понимать, что это тебе придется подстраиваться, и чем раньше ты это сделаешь, тем тебе же будет лучше."" ""Учись у других, более опытных, не придумывай ничего нового, правила выживания в тайге определены задолго до твоего рождения. Если не дурак – приспособишься.""Вступление немного сумбурное, архаизмы чередуются с просторечиями и выстраиваются иногда в такие сложные обороты, что теряешь суть предложения. Но когда автор наконец-то выходит на свою любимую и близкую ему тему хочется читать не отрываясь. Вся книга - это маленькие рассказы, как будто формат блога, но в далёкие безынтернетные времена. Истории весёлые и не очень, с русской смекалкой и здоровой долей пофигизма. В некоторых местах, я машинально искала сноски внизу страницы, так как не совсем понимала, что имел в виду автор под ""шестьдесят шестыми"", ""афтершоки"", ""фаланги"" например.Произведение большей частью автобиографично, в нем часто упоминаются люди, близкие автору и совершенно не знакомые для читателя, вначале от этого сложно абстрагироваться, и воспринимать их просто как неких литературных персонажей. Но потом привыкаешь и из рассказа в рассказ даже некоторых начинаешь узнавать, и чувствовать сопричастность к происходящему. А иногда автор неожиданно обращается к читателю: ""Ну ты помнишь?"" И вот тут абсолютно теряешься, ведь ничего подобного ты ни то, что не помнишь, а и знать не знал.Читается легко у кого-то может вызвать приступы ностальгии, а кому-то откроется целая ушедшая эпоха или поможет в выборе профессии.  ",https://s.bookmix.ru/books/8/0/7/istoriispristavkoygeo_4_1584601424.png,/book.phtml?id=2933298
5,"Три в одном: некромант, алхимик, боевик",Ирина Сыромятникова ,"         Армадовская толстушка - три книги под одной обложкой. На этот раз мне повезло, и обложка стойко выдерживает бесконечные перечитывания. У ""Хроник Сиалы"" Пехова, к примеру, отрывается, и скотч не помогает. На оформление и иллюстрации я давно уже не обращаю внимания, даже примета появилась: если мне понравилась иллюстрация, скорее всего не понравится текст. А все-таки лучше, когда наоборот, согласитесь. Автор входит в мои личные топ-10 писателей развлекательного жанра, книга - одна из любимых, читанная-перечитанная, так что сюжет, сами понимаете, я сейчас буду хвалить.Планета раз за разом переживает одну и ту же катастрофу, стирающую развитые цивилизации за несколько суток. Там, где были заводы-дворцы-пароходы, умирают все, даже червей не остаётся. Ни освоение космоса, ни города на дне морском не гарантируют безопасности. Нашествие потустороннего невозможно предотвратить или остановить. Выжившие есть, человечество, как вид, не вымирает окончательно, но размеры катастрофы впечатляют: ""Нас было восемь миллионов, осталось пятеро"", - читает главный герой в одной из древних книг.Мир самобытный, объемный, живой. С прописанной географией, политикой, наукой, искусством и социальным устройством. При этом, картина мира подается не лекцией в духе ""коротенько, минут на сорок"", а достаточно ненавязчиво. Характерная особенность мироустройства - необычный взгляд на черных и белых магов, их особое место в сюжетной канве и мгновенная узнаваемость. Помню, на фанфиксе кое-кто хотел скопировать психологию черных и белых из этой книги Сыромятниковой, и все, кто читал про Тангора, немедленно угадывали, чьи тут уши торчат.История ведётся от первого лица. Главный герой - Томас Тангор - черный маг, который вообще-то магии предпочитает технику, любит кататься на лифте, фанатеет от паровозов и мечтает разбогатеть и купить себе лимузин. Милый, как котик (все любят котиков), дружелюбный, как мейн-кун, он решает проблемы по мере их поступления (и предпочел бы, чтобы поступало поменьше проблем и побольше денег - как я его понимаю!).Мне очень нравятся жизненные ситуации и меткие замечания автора про политику, науку и взаимоотношения. Нравится устройство Ингерники (государства, в котором живет Тангор). И, грешна, вспоминая книгу, часто пытаюсь определить: по её классификации я все-таки ближе к черным магам или к белым? Очень интересные психотипы, очень узнаваемые.Все развешенные ружья в этой книге стреляют без промаха, подробно описанные детали всегда важны, а Томасу лучше не зарекаться: ""Никогда такого не будет"", потому что будет, ещё и не такое. И что очень нравится мне у Ирины Сыромятниковой: если у персонажа есть имя, значит его раскроют как личность и приставят к сюжету (знали бы вы, как огорчает меня у некоторых авторов читать, что вот, мол Аэлин-до-сотого-мэллорна-имен-умница-красавица, а потом осознавать, что она просто мимо проходила и все, что я про нее узнала было ни-за-чем!).Это все-таки приключенческая книга, действия в ней развиваются динамично, выпутываясь из одних неприятностей Томас, намеренно или против своей воли, попадает в другие. У автора лёгкий слог, хороший юмор и живое воображение. За приключениями интересно следить даже перечитывая историю. А ещё я очень люблю в книгах для легкого чтения уверенность, что раз пришёл герой, значит все наладится и будет хорошо. Томас - настоящий герой. Даже из безвыходного положения он умудряется вывернуться.Любовной линии в книге нет, но существует на просторах интернета много фанфиков с самыми разнообразными пейрингами. Про некоторые я даже узнавать боюсь.Несколько слов о сюжете. Вопреки некоторым отзывам, он-таки есть  и красной нитью проходит сквозь  три книги. Все крупные и мелкие неприятности ведут к одному - Томасу предстоит найти ответы на вопросы, уровня демиург: откуда берется нежить, как она связана с черными магами, что случилось с погибшими цивилизациями и как уберечь свой мир от катастрофы?Книгу можно включать в сборники о некромантах, о магах и черных магах, о студентах, о изобретениях, о погибших цивилизациях и археологии, о нежити.В целом, история закончена и наши победили, но я точно знаю, что на Самиздате у автора выложены черновики четвертой книги. И она прекрасна.  ",https://s.bookmix.ru/books/3/5/5/ZHitie_moe_9355.jpg,/book.phtml?id=641815
6,Конец? Наконец-то,Джоджо Мойес ,"         Стоя в магазине перед полкой с книгами, я долго думала, стоит ли мне купить и прочесть эту книгу. От предыдущей части «После тебя» у меня остались смешанные чувства, поэтому, даже купив ее, никак не могла решиться и откладывала книгу в сторону. Но совесть перфекциониста сказала, что нужно закончить серию, и я взялась за чтение.",https://s.bookmix.ru/books/3/9/9/vsetazheya_6_1526891779.jpg,/book.phtml?id=2424848
7,Отпуск попаданца,Андрей Валерьев ,"         Говорят, хочешь узнать человека дай ему власть и деньги и он проявит себя во всей красе. Оказывается, есть еще один верный способ – выдернуть человека с его привычной среды и пометить на необитаемый остров.    «Жизнь прекрасна!!!» - думал главный герой  Виктор Егоров, типичный офисный планктон, отправляясь в Турцию в разгар сезона подписывать с партнером незначительный договор и, надеясь справиться достаточно быстро, чтобы провести остаток командировки на пляже под солнышком. И все так и было бы, если б вдруг, попав в жуткую турбулентность, у Боинга не заглохли оба двигателя .  Пассажирам крупно повезло. Самолет смог аварийно опуститься на воду близ острова. Все  благополучно добираются до земли и надеются на скорое спасение аварийных служб.  На небе появляются сразу две луны – одна голубая, другая красная. Все надежды  на спасение в один момент рушатся. И вот тут начинается самое интересное – у всех пассажиров проявляется истинная сущность. У многих она звериная. Люди начинают объединяться в стаи. А вот главному герою не повезло. Его не приняли ни в одно общество. Он оказался ненужным. В обычном мире Виктор не выделялся особо ни какими способностями, но нашел свою нишу и даже пытался находить удовольствие в доступных ему радостях. А вот на острове ни еды, ни воды и даже одежду забрали. Злость на сильных мира сего, на себя, на судьбу накрывает Виктор Егорова Но именно эта злость помогает проявить себя как Человека, когда на остров надают дикари. Дедовы слова, которые до него раньше были как из другого мира вдруг становятся близкими и понятными – «Кто если не я». Эта незатейливая фраза меняет все – жизнь главного героя, расстановку сил на острове и пожалуй сюжет книги. Долее фантазия автора зашкаливает, а Виктор твердит: «Кто если не я!». Сюжетные повороты просто потрясают. Автор превратил меня в девчонку-подростка, которая вместе с героями книги путешествовала по необитаемым островам, ныряла в глубины океана к затонувшему самолету, умирала от жажды на корабле дикарей, искала путь домой. Мое сердце то замирало от страха, то начинало биться сильней от гордости. Периодами наворачивались слезы от романтических чувств. Одним словом книга понравилась. И хотя главные герои в ней взрослые люди есть в ней какой-то юношеский задор. Так что рекомендую тем, кто устал от серьезного чтения и кому хочется хороших современных приключений с элементами романтики.  ",https://s.bookmix.ru/books/7/3/4/kakyaprovelletofarang_0_1584108157.jpg,/book.phtml?id=2930880
8,Как попасть в ад за 13 часов?,Себастьян Фитцек ,"         Прочитав одну книгу Себастьяна Фитцека, тут же берешь следующую и следующую… Поэтому предупреждение для тех, кто еще не знаком с автором: Осторожно! Вызывает привыкание!Немного о сюжете: Доктор Матс Крюгер решается на длительный полет из Буэнос-Айреса в Берлин, когда узнает, что у его дочери должен родиться первенец. Он панически боится летать и не ждет ничего хорошего от этого путешествия, но и в самом страшном сне он не мог представить того, каким кошмаром все для него обернется. И вот, на высоте девять тысяч метров ему сообщили, что его беременная дочь похищена, и если он не будет строго выполнять указания, то она умрет.История интригует с первых же страниц, а то, какие решения принимает главный герой – уму непостижимо. Несколько раз во время прочтения, когда думала, что «ну вот теперь уже точно все понятно», автор переворачивал все с ног на голову. До самых последних страниц не покидало ощущение, что в любой момент может произойти все, что угодно. Думаю, Фитцек добился того, чего хотел: во время прочтения переживаешь огромный спектр эмоций. Хотя бы за это стоит рекомендовать «Аэрофобию 7А».Бесспорно, Фитцек мастер в жанре психологического триллера, но неоспорим и тот факт, что параллельно он умудряется затронуть и некоторые другие темы, которые могут тронуть до глубины души. Различные «вечные темы», например, конфликт поколений, или разговоры о любви и разрушении… Все это тонко вплетено в сюжет и не отвлекает от основного действия, но придает произведению искренность, будто автор делится с читателем чем-то сокровенным.Самыми запомнившимися мне цитатами и хотелось бы закончить отзыв. Рекомендовано к прочтению как фанатам триллеров и любителям головоломок, так и ценителям размышлений и умозаключений!«- Но то, что я искала всю жизнь, постоянно пыталось меня уничтожить…»«- Знаешь, мой отец всегда мне говорил, что человек влюбляется автоматически. И бессилен против этого неожиданного переполняющего чувства, настигающего как молния. «Влюбленность – это случайность», - говорил он всегда. А вот любовь… Любовь – это решение… Нет такого партнера, который подходил бы кому-то на сто процентов. Может только на семьдесят или на восемьдесят. И всегда найдутся люди, которые будут соответствовать другим двадцати или тридцати процентам, вопрос в том, остается ли человек верен своему решению или каждый раз будет отказываться от него или искать дальше?»",https://s.bookmix.ru/books/7/3/9/aerofobiya7a9_1559263037.jpg,/book.phtml?id=2726339
