,content,label
0,"Я могу однозначно сказать, что книга мне понравилась, но определенно она вызвала массу эмоций и заставила о многом задуматься. Книга такая печальная, пронизанная чувством тоскливого одиночества.
Это история семьи Ли, которая пытается справиться со смертью дочери и сестры.
Однажды утром шестнадцатилетия Лидия не спустилась к завтраку, а через несколько дней ее мертвую нашли на дне озера. Полиция считает, что самая вероятная причина смерти - самоубийство, семья, особенно мать, отказываются в это верить. И по завязке кажется, что нас ожидает триллер, к тому же в аннотации идет сравенение с Лорой Палмер. Но триллера тут нет, просто драма одной семьи, ее история, цепочка разных событий, которые привели к трагедии.
Действие книги разворачивается в 60-70х годах, и это накладывает определенные условия, так как Мэрилин белокожая блондинка-американка, а Джеймс - сын китайских эмигрантов, а межрасовые браки не то, что не приветствуются, а даже где-то являются уголовным преступлением. Несмотря на сложности, пара поженилась, но обоим пришлось многое преодолевать, со многим мириться, и вот эти комплексы, нереализованные амбиции легли тяжким грузом, и оба родителя возложили все свои надежды на дочь Лидию, надеясь воплотить в ней свои мечты. Чем дальше, тем больше на Лидию давят ожидания родителей, но она боится их разочаровать, поэтому продолжает делать то, что он нее ждут. Все внимание приковано к ней, тогда как старший сын Нэт все больше отходит в тень, становится разочарованием, так как его стремления и успехи родителей не интересуют, и хотя с сестрой они были очень близки, его все больше одолевает зависть и ревность. А еще появляется младшая, Ханна, ненужный и нежданный ребенок, девочка-невидимка, которая привыкла, что ее не замечают, а потому сама научилась замечать намного больше, чем положено в ее возрасте.
На самом деле мне было очень жалко всех детей. Родителей тоже жалко, им многое пришлось пережить, от многого отказаться, и они не плохие, просто несколько токсичные, слишком зацикленные на том, что они хотят увидеть в детях, особенно в Лидии, и этого напряжения оказалось слишком много, что и привело к трагическим последствиям.
Мне кажется, что порой автор слишком давит на эмоции, выкручивает их на полную мощность и слишком сгущает краски, но, думаю, такой прием выбран, чтобы показать, как самые простые и вроде бы незначительные вещи могут ранить, как губительны могут оказаться поступки из добрых побуждений, куда могут завести эти самые благие намерения. И тут рефреном повторяется строчка из названия - потому что одна из самых больших проблем в том, что люди просто не могут друг другу высказать то, что чувствуют, просто поговорить, просто выслушать другого.
Вот и смерть Лидии вскрыла нарыв, обнажила все проблемы семьи, то, что копилось долгие годы - все неправильные решения, все жертвы и ошибки, и теперь все ее члены сильнее отталкивают друг друга, каждый по своему пытается пережить горе. Оказывается, что они все совершенно не знают друг друга, как будто они совершенно чужие люди, а все, что их связывало - это Лидия. А теперь все неизбежно ведет к разрушению.
Но все не так безнадежно, как может показаться, потому что все-таки это событие стало уроком, помогло членам семьи пересмотреть свои ошибки и попытаться их исправить, пока не стало слишком поздно.
Наверное, сложно полюбить такую деструктивную историю, где на поверхности все замечательно, а на самом деле вскрываются таких бездны, где самые близкие люди оказываются друг другу чужими. Да, тут нет какой-то хтони, по настоящему ужасных и мерзких секретов, но, наверное, тем ужаснее, когда такое видимое благополучие приводит к трагедии, хотя казалось бы, нужно совсем немного, чтобы можно было ее избежать.",3.5
1,"Прочитала за час, не могла оторваться! Что тут сказать, великолепный слог Любимого Достоевского очень радует. Читать легко и интересно, сколько выразительных средств он использует, а каковы монологи, которые несут в себе красоту, насущие проблемы и и просто жизненные проблемы. Одна из которых-это одиночество. Оно ужасно и это факт. Ничто не способно сделать человека счастливым , если он одинок. книга очень сентиментальна, как и говорит сам автор, но при этом будет интересна и мужской аудитории! Очень грустный конец и очень жалко главного героя, да и вся книга заставляет задуматься об одиночестве и радоваться каждому дню, проведённому с близкими людьми! Ведь это прекрасно, когда есть те, кому можно излить душу, спросить совета, кто поддержит в трудную минуту! Я считаю, это и есть счастье",5.0
2,"Помните в слр частый прием, когда мужик женит на себе бабу, потому что отец ему сказал пока не женишься хоть годочек, не получишь полцарства. Вот так и здесь.  Один женился на другом из за полцарства. Но как получатеся обычно. Полюбили они друг друга примерно через 4 дня, 15 часов, 23 минуты. Ну естно один из них девственник! Ну как иначе? 
Если вы любитель дешевой херни, то вам прям зайдет эти розовые пони",1.0
3,"За окном уже во всю сияют звёзды, а я только закончила читать книгу. Что ж она меня поразила... поразила в самое сердце и не пожалела. Книга неимоверно уютная, красивая, романтичная и острая на язычок. Я обожаю книги, где всё начинается с какого-нибудь спора, и тут именно пари играет ключевую роль. По-началу, совсем не привлекательный, высокомерный папенькин сынок (только по её мнению) даже и не представлял, что его жизнь подкинет ему вот такой вот сюрприз в виде Маши. Но что уж делать? Пришлось смериться, поспорить, влюбиться и выиграть спор. Конечно, спор выиграли они оба, потому что в этой ситуации проигравших явно нету.Что касается внешности Димы, то тут просто прямое попадание в яблочко! КУЧА татуировок, тёмные волосы, стильное одеяние, искренние эмоции и, конечно же, любовь.А если говорить про нашу Машеньку, то по-началу это невидимка и серая мышка, которая подает надежды в будущем. Она умная, искренняя, ответственная, серьезная и, не смотря на то, что ""невидимка"" может постоять за себя. Конечно у каждого из главных героев есть свои скелеты в шкафу, которые прийдется достать, принять и отпустить в вольное плаванье, но это никак не мешает этой прекрасной истории. Естественно они из разных миров, как и во всех книгах ""принц для Золушки"", но здесь это не выставляется как глобальная проблема книги, которую нужно отвоевать, что мне безумно нравиться!Люблю я такие книги, что уж тут скрывать) И вам советую прочитать!",5.0
4,"Приятным удивлением было обнаружить книгу по мотивам одноименного фильма режиссёра Бернардо Бертолуччи с одним из моих любимых актеров – Марлоном Брандо. 
В книге потрясающе всё, как и в фильме, но они, несомненно, совершенно разные, хоть и, по моему личному мнению, не резонируют друг с другом, а удачно дополняют. 
Мотивы поступков, тенденции поведения, мысли, действия – давно уже мне не приносили такое удовольствие все эти вещи, казалось бы, обыденные в книжной вселенной. Здесь же читатель будто бы постигает логичное и структурированное пояснение, последовательно раскрывающуюся, словно цветок, рецензию без спойлеров и без эмоционального окрашивания текста мыслями автора. 
Сама же история цепляет за живое, а если в ней обнаружить пару «личных» мелочей, как это случилось со мной, то пробираясь сквозь кружево букв, можно самолично сделать себе аутопсию души. 
Ну почему, почему же мы порой встречаем некоторых людей слишком поздно? Почему встречаем родственные души искалеченными, потрепанными и изменёнными до неузнаваемости долгими годами страданий, терпения и смирения? Читать было иногда больно.",5.0
5,"Ну что ж, отмечу для начала два нюанса, которые слегка раздражали: 
1. Ошибки; 
2. Обилие ненужных описаний и подробностей - ну там вкус листьев в ненастную погоду на скаку, как уложены волосы аристократов вплоть до прядок, какая была хрупкая маманя ггероини, которую мы более никогда не встретим... такое короче. Это если кратко и с претензией на объективность. А дальше моя окололитературная простыня. 
Меня почти всегда безумно веселит, как авторы нагнетают в прологах, особенно если это авторы любовных романов, а не мистических триллеров и прочих ужасов. Вот и тут мы наблюдаем как сквозь лес в ненастную погоду скачет всадник и смотрит вверх, наблюдая за погодными ужасами. На будущее юным всадникам - никогда так не делайте, крутя головой в лесу да еще и в ненастную погоду, вы с верояностью прилетите в дерево. Но там дальше вообще для конников много забавных нюансов. Например, император такой вах мужчина, уверенно сидит в седле, лишь одной рукой придерживая поводья. На шагу. Невиданное мастерство гг%)) 
Так вот, всадник прискакал с таким апломбом не мир спасать, а дочь своих типа друзей (ну в отличие от автора мне сложно назвать этого героя другом, отжиматели детей у меня как-то с этим понятием слабо ассоциируются, к тому же более он этих самых друзей не навещал, а они вроде как не померли), ведь у нее дар и обычные родители не в силах ей помочь. Нанять мага для домашнего обучения? - нет, нельзя. Только закрытые школы в пустыне. Не, я б еще поняла, если б такие маги были в ведении императора лично и он бы бдил и все такое. Но как бы он даже знать не знает о самых даровитых, которые уж 20 лет, как обучаются. Даже о том, что наша ггероиня не просто фрейлина, а боевой маг для охраны его сеструхи, не догадывается. 
Про родителей и вовсе непонятно, меня всю дорогу терзала мысль: и что, вот так запросто отказались от ребенка, никаких каникул и визитов, просто сбагрили инвалидушку и пошли строгать нового, так что ли? Самая мякотка, что в этом мире существуют разводы и даже есть такое понятие как опека. И где все это в отношении нашей 5-ти летней героини, которую ""друг"" повез в закат? Вообще не поняла этого момента.  Теперь бабе уже 26 и судя по всему она только и делала, что обучалась всякому с 5 лет (когда ее собссно забрал ""дружбан"" и отвез в домик на отшибе мира). Вроде как бабец вполне себе социально адаптирован, угрозы обществу не представляет, но учитывая, что в свет до этого не выходила ни разу (а она между прочим аристократка!) и никто ее знать не знает, с родителями она отношения не особо поддерживает - вообще упоминает только один раз в контексте происхождения своего имени. Кстати, интересно, кто содержал ее 20 лет и платил всех этих магов и жриц? Корона? Предки? Дружбанидзе? Уж простите мой меркантильный интерес, он тут скорее вишенка. 
Главзлодея я отгадала практически сразу, но книжка без претензий на детективу, скорее это декорации для ЛЛ. Ну а теперь плюсы, ибо их есть. Во-первых, это однотомник. 
Во-вторых, у автора на мой вкус очень приятный и легкий стиль. 
Вообще сама по себе книга этакая сладкая сказочка с мегасильной героиней, которая и коня на скаку и семи пядей во лбу. Под настроение я вообще люблю такое почитать и наверное книга мне бы понравилась, если б автор не замутил такую лютую фигню в прологе. Да вообще выкинуть бы пролог нафиг и книжка б только выиграла. Короче, если вам хочется сладенького и ненапряжного, где много счастливых пар, нет многоугольников и предающих тел и вас в отличие от меня не смушает тяжкий родительский удел (ну или просто не читайте пролог) - настоятельно рекомендую.",3.5
6,"Не знаю, что стало причиной, но желание почитать детскую литературу неожиданно показалось из-за угла и подло накинулось на меня. Итак: «Агентство «Фантом в каждый дом», гордо именуемый с обложки книги - классикой детской литературы, попало на мои полки уже примерно с год  и до сих пор благополучно скрывалось от моей, тянущейся в поисках чтобы почитать, лапки. «Фантом в каждый дом» - агентство с очень необычной профессиональной деятельностью, оно специализируется на устройстве призраков в хорошие руки, но из-за нелепой случайности, монахини, ждавшие спокойное и милое семейство, получают наизлобнейших и наисумашедших призраков, а в старинный замок  едет семейство призраков-душек. Колесо я не изобретала, всё это можно узнать из аннотации. Чего не хватает этой книги так, это возрастного рейтинга читателей. Будь у меня дети и по возрасту меньше 12, я бы еще подумала, а стоит ли давать им эту книгу? В тексте присутствуют странные сцены, с описанием внутренних органов, конечно не подробно, но с моей бурной фантазией было не сложно нарисовать себе эти сцены в красках. А в целом книга наивная, показывающая, что мир не без добрых людей. Очень хорошо она  вписавшаяся бы в какой-нибудь марафон перед Хэллоуином, Когда хочется почитать что-то про призраков, но в то же время не хочется штудировать тома и грузить себя чем-то тяжелым.Книга прочитана в рамках игры - Собери их всех!",3.0
7,"Четвертое дело Страйка и Робин вышло поинтереснее, чем предыдущее на мой личный вкус. Нельзя сказать, что виновника так сразу легко разгадать, но так вышло, что я сразу поставила на нужного человека, и почему-то именно выбор этой персоны в итоге показался мне самым банальным. Чтобы ненароком не наспойлерить, по сюжету даже не хочу ничего говорить: кто читал первые три книги, то не будет удивлен ничем. Стиль остался прежний, взаимоотношения между Страйком и Робин все на том же уровне юста, хотя попытки Роулинг свести главных героев крайне очевидны и даже, наверное, навязчивы. По мне так линия с отношениями, именно с уклоном в романтику, совсем лишняя. Робин и Страйк идеальны в этаком дружеском тандеме, они для меня скорее как старший брат и младшая сестра, но точно не пара. Дело вкуса, конечно, но это как минимум просто банально. Сам ход расследования не впечатлил, все же первые две части были гораздо интереснее, более закрученные, процесс распутывания дела тоже шел раньше динамичнее, заставляя мозги работать и идти по следу вместе с героями. В ""Белизне"" очень долго ходили вокруг да около, ближе к финалу просто кучей вывалили якобы распутанный клубок с результатами домыслов и частично расследования, который меня, например, если не запутал, то совсем не убедил, потому как казался просто взятым с потолка, а точнее из головы Страйка. Я не увидела четкого и линейного расследования, не смогла проследить все логические цепочки, выводы, взаимодействия, причины и итоги, чтобы самой сложить это в ясную картину преступления. Не знаю... как-то вторично и пресновато. Не хватает остроты новым делам Страйка. Текста много, а вот смака в нем кот наплакал.ps: а еще, вероятно, изменился переводчик(и) и читать на русском стало жутко, столько убогих словечек я давно не замечала в книгах, совсем неуместные слэнги или просто глупые выражения, от которых аж глаз резало.",3.0
8,"В общем и целом  идея неплохая. Во всяком случае, мне нравится, когда в ромфанте присутствуют любовные треугольники, а особенно такие, в которых не ясно, кто из претендентов победит. А тут это как раз имеется.
Но в какой-то момент книга стала напоминать фарс- столько поклонников вступило в битву за пиз руку и сердце девушки.
Мне кажется, автору не хватило опыта, ну или таланта. Герои картонные, героиня красивая, но дура. Все ее хотят, она работает ПРЕПОДОМ в ВУЗЕ, а все с невинностью своей носится. Если кому-то важен антураж, мир, то он тут не прописан. Ах да, повествование ведётся в настоящем времени, что тоже простит.",3.0
9,"Сразу скажу, что книга эта далеко от стиля Прокопенко и т.п., где книги легко читаются, изобилуют поверхностным видением, да и построены на вызове и резонансе. Тут скрупулезное расследование, на которое автор потратил много сил, а главное время. Приятно читать, что раньше была полемика в общественности, автор публиковал свои материалы в газетах, после чего получал в свой адрес различные мнения, которые использовал в своих измышлениях.""Дьявол кроется в мелочах"", так и тут Валентин Скорятин детально и въедливо вчитывался и сличал десятки мемуаров и интервью всех тех, кто был связан с трагедией и вообще жизнью Владимира Маяковского, изучал не только биографию Маяковского, а его окружения. Собирал материалы, проводил встречи, запрашивал документы и досконально знакомился на местах. Хорошая подборка фото материалов, здоровски собран материал для сносок и пояснений.Лично для меня Владимир Скорятин в данной книге на много расширил представление о такой казалось бы безаппеляционной фразе из детства (аналогично той, что ""снег белый"") - что Маяковский писал писал стихи, работал работал, а потом застрелился, мол перегорел, влюбился неудачно... Короче не всё так просто... Для меня даже личность Маяковского стала иной, я не задумывался (под таким углом) о многих темах его жизни и жизни того времени вообще, той его окружающей среды творческой интеллигенции Новой России.",4.5
